"Lenovo V15 Celeron DC N4020 1.1-2.8GHz,4GB,500GB,15.6""HD,RUS,DOS HDMI, IRON GRAY"/"21 194 сом																

"/"/upload/resize_cache/iblock/15d/220_200_1/15d94bea16568dccbf86eb222d2f9ec4.jpg"
"Lenovo IP3 Celeron DC N4020 1.1-2.8GHz,4GB,500GB,15.6""HD,RUS,DOS HDMI, PLATINUM GRAY"/"21 384 сом																

"/"/upload/resize_cache/iblock/2be/220_200_1/2bee0904cc097dc3abef54f52fd53230.jpg"
"Lenovo V15 Celeron DC N4020 1.1-2.8GHz,4GB,SSD 120GB,15.6""HD,RUS,DOS HDMI, IRON GRAY"/"21 574 сом																

"/"/upload/resize_cache/iblock/15d/220_200_1/15d94bea16568dccbf86eb222d2f9ec4.jpg"
"Ноутбук Lenovo V15 IGL, Celeron N4020 (up to 2.8Ghz), 4GB, 256GB SSD m.2 NVMe, 15,6""HD(1366х768),Intel UHD Graphics 600,без привода,WiFi+BT,HD Web Camera,FreeDOS, Eng-Rus,Iron Grey,бесшум [82C3001NAK]"/"21 736 сом																

"/"/bitrix/templates/dresscode/images/empty.png"
"Lenovo IP3 Celeron DC N4020 1.1-2.8GHz,4GB,SSD 120GB,15.6""HD,RUS,DOS HDMI, PLATINUM GRAY"/"21 764 сом																

"/"/upload/resize_cache/iblock/2be/220_200_1/2bee0904cc097dc3abef54f52fd53230.jpg"
"Lenovo V15 Celeron DC N4020 1.1-2.8GHz,4GB,1TB,15.6""HD,RUS,DOS HDMI, IRON GRAY"/"21 859 сом																

"/"/upload/resize_cache/iblock/15d/220_200_1/15d94bea16568dccbf86eb222d2f9ec4.jpg"
"Lenovo IP3 Celeron DC N4020 1.1-2.8GHz,4GB,1TB,15.6""HD,RUS,DOS HDMI, PLATINUM GRAY"/"22 049 сом																

"/"/upload/resize_cache/iblock/2be/220_200_1/2bee0904cc097dc3abef54f52fd53230.jpg"
"Lenovo IP3 Celeron DC  N4020 1.1-2.8GHz,4GB,1TB,15.6""HD,RUS,DOS HDMI, BLACK"/"22 049 сом																

"/"/bitrix/templates/dresscode/images/empty.png"
"Ноутбук Lenovo V15 Celeron DC N4020 1.1-2.8GHz,4GB,SSD 240GB,15.6""HD,RUS,DOS HDMI, IRON GRAY"/"22 144 сом																

"/"/upload/resize_cache/iblock/15d/220_200_1/15d94bea16568dccbf86eb222d2f9ec4.jpg"
"Ноутбук Lenovo IP3 Celeron DC N4020 1.1-2.8GHz,4GB,SSD 240GB,15.6""HD,RUS,DOS HDMI, PLATINUM GRAY"/"22 334 сом																

"/"/upload/resize_cache/iblock/2be/220_200_1/2bee0904cc097dc3abef54f52fd53230.jpg"
"Lenovo V15 Celeron DC N4020 1.1-2.8GHz,4GB,SSD 256GB,15.6""HD,RUS,DOS HDMI, IRON GRAY"/"22 334 сом																

"/"/bitrix/templates/dresscode/images/empty.png"
"Ноутбук  Notebook Foxcon Silver Intel Quad Core N3450 (up to 2.20Ghz), 8GB, 500GB,  Intel HD Graphics, 14"" IPS FULL HD (1920x1080), WiFi, BT, HD WebCam, UltraSlim, Eng-Rus (ьитые пиксели)"/"23 320 сом																	 / шт


"/"/upload/resize_cache/iblock/aff/220_200_1/aff956c73141b24223aa3768f6b2eac1.jpg"
"Ноутбук  Notebook Foxcon Silver Intel Quad Core N3450 (up to 2.20Ghz), 8GB, 128GB SSD,  Intel HD Graphics, 14"" IPS FULL HD (1920x1080), WiFi, BT, HD WebCam, UltraSlim, Eng-Rus (ьитые пиксели)"/"23 320 сом																	 / шт


"/"/upload/resize_cache/iblock/aff/220_200_1/aff956c73141b24223aa3768f6b2eac1.jpg"
"Ноутбук Lenovo V15 Celeron DC N4020 1.1-2.8GHz,4GB,SSD 480GB,15.6""HD,RUS,DOS HDMI, IRON GRAY"/"23 570 сом																

"/"/upload/resize_cache/iblock/15d/220_200_1/15d94bea16568dccbf86eb222d2f9ec4.jpg"
"Lenovo IP3 Celeron N4020 1.1-2.8GHz,4GB,1TB,15.6"" FHD,RUS,DOS HDMI, BLACK"/"23 665 сом																

"/"/upload/resize_cache/iblock/27a/220_200_1/27a7dc17434a25c7773a8c04664af5a6.jpg"
"Lenovo IP3 Celeron DC N4020 1.1-2.8GHz,4GB,SSD 480GB,15.6""HD,RUS,DOS HDMI, PLATINUM GRAY"/"23 760 сом																

"/"/upload/resize_cache/iblock/661/220_200_1/6615a333a44bda72c9e8ca5d3463b938.jpg"
"Ноутбук  Notebook Foxcon Silver Intel Quad Core N3450 (up to 2.20Ghz), 8GB, 1TB,  Intel HD Graphics, 14"" IPS FULL HD (1920x1080), WiFi, BT, HD WebCam, UltraSlim, Eng-Rus (ьитые пиксели)"/"23 786 сом																	 / шт


"/"/upload/resize_cache/iblock/aff/220_200_1/aff956c73141b24223aa3768f6b2eac1.jpg"
"Ноутбук  Notebook Foxcon Silver Intel Quad Core N3450 (up to 2.20Ghz), 8GB, 256GB SSD,  Intel HD Graphics, 14"" IPS FULL HD (1920x1080), WiFi, BT, HD WebCam, UltraSlim, Eng-Rus (ьитые пиксели)"/"24 719 сом																	 / шт


"/"/upload/resize_cache/iblock/aff/220_200_1/aff956c73141b24223aa3768f6b2eac1.jpg"
"Notebook Foxcon Silver Intel Quad Core N3450 (up to 2.20Ghz), 8GB, 500GB + 128GB SSD, Intel HD Graphics, 14"" IPS FULL HD (1920x1080), WiFi, BT, HD WebCam, UltraSlim, Eng-Rus (ьитые пиксели)"/"25 652 сом																	 / шт


"/"/upload/resize_cache/iblock/aff/220_200_1/aff956c73141b24223aa3768f6b2eac1.jpg"
"Ноутбук  Notebook Foxcon Silver Intel Quad Core N3450 (up to 2.20Ghz), 8GB, 1TB + 128GB SSD,  Intel HD Graphics, 14"" IPS FULL HD (1920x1080), WiFi, BT, HD WebCam, UltraSlim, Eng-Rus (ьитые пиксели)"/"26 118 сом																	 / шт


"/"/upload/resize_cache/iblock/aff/220_200_1/aff956c73141b24223aa3768f6b2eac1.jpg"
"Lenovo V14 Celeron DC N4020 1.1-2.8GHz,4GB,SSD 120GB,14""HD,RUS,DOS HDMI, IRON GRAY"/"26 421 сом																

"/"/upload/resize_cache/iblock/0cf/220_200_1/0cf76ea5b3928238246de773423fd3e6.jpg"
"Lenovo V14 Celeron DC N4020 1.1-2.8GHz,4GB,1TB,14""HD,RUS,DOS HDMI, IRON GRAY"/"26 611 сом																

"/"/upload/resize_cache/iblock/0cf/220_200_1/0cf76ea5b3928238246de773423fd3e6.jpg"
